Date,Open,High,Low,Close,Adj Close,Volume,Weekday,OP/CL
09/05/2016,3.66,3.68,3.45,3.65,3.65,16299400,Monday,OP
10/05/2016,3.66,3.68,3.56,3.64,3.64,9411300,Tuesday,
11/05/2016,3.61,3.68,3.6,3.65,3.65,7540300,Wednesday,
12/05/2016,3.65,3.68,3.55,3.59,3.59,9255800,Thursday,
13/05/2016,3.56,3.73,3.55,3.67,3.67,16470100,Friday,CL
16/05/2016,3.67,3.85,3.65,3.79,3.79,14703800,Monday,OP
17/05/2016,3.8,3.98,3.69,3.79,3.79,20066100,Tuesday,
18/05/2016,3.79,3.97,3.77,3.84,3.84,19506900,Wednesday,
19/05/2016,3.83,3.85,3.69,3.77,3.77,17696900,Thursday,
20/05/2016,3.83,3.9,3.81,3.87,3.87,13799600,Friday,CL
23/05/2016,3.9,4.2,3.88,4.04,4.04,35434300,Monday,OP
24/05/2016,4.09,4.21,3.92,4.2,4.2,34283900,Tuesday,
25/05/2016,4.24,4.35,4.15,4.18,4.18,24703600,Wednesday,
26/05/2016,4.19,4.38,4.17,4.35,4.35,22611900,Thursday,
27/05/2016,4.39,4.63,4.37,4.6,4.6,34429600,Friday,CL
31/05/2016,4.67,4.71,4.5,4.57,4.57,25379200,Tuesday,OP
01/06/2016,4.6,4.64,4.38,4.43,4.43,29696400,Wednesday,
02/06/2016,4.37,4.4,4.07,4.24,4.24,35304700,Thursday,
03/06/2016,4.16,4.2,4.08,4.16,4.16,17561800,Friday,CL
06/06/2016,4.2,4.51,4.17,4.47,4.47,21329600,Monday,OP
07/06/2016,4.56,4.67,4.47,4.51,4.51,20676200,Tuesday,
08/06/2016,4.54,4.56,4.38,4.46,4.46,16074300,Wednesday,
09/06/2016,4.41,4.54,4.32,4.52,4.52,16219100,Thursday,
10/06/2016,4.4,4.47,4.3,4.32,4.32,15106500,Friday,CL
13/06/2016,4.32,4.48,4.32,4.4,4.4,13540900,Monday,OP
14/06/2016,4.4,4.51,4.33,4.39,4.39,16757400,Tuesday,
15/06/2016,4.44,4.48,4.3,4.42,4.42,11575300,Wednesday,
16/06/2016,4.5,4.75,4.46,4.75,4.75,34182700,Thursday,
17/06/2016,4.75,5.27,4.68,5.26,5.26,64894100,Friday,CL
20/06/2016,5.39,5.45,5.09,5.1,5.1,43541300,Monday,OP
21/06/2016,5.1,5.5,5.09,5.45,5.45,35864600,Tuesday,
22/06/2016,5.46,5.52,4.96,5.02,5.02,47943300,Wednesday,
23/06/2016,5.17,5.26,5.05,5.21,5.21,29159200,Thursday,
24/06/2016,4.82,5.07,4.76,4.88,4.88,36735200,Friday,CL
27/06/2016,4.88,5.05,4.65,4.72,4.72,31025300,Monday,OP
28/06/2016,4.95,5.19,4.91,5.12,5.12,29221400,Tuesday,
29/06/2016,5.31,5.4,5.1,5.13,5.13,33118300,Wednesday,
30/06/2016,5.13,5.19,4.95,5.14,5.14,26124800,Thursday,
01/07/2016,5.09,5.14,5,5.07,5.07,18255900,Friday,CL
05/07/2016,5.03,5.05,4.88,4.96,4.96,16332500,Tuesday,OP
06/07/2016,4.91,5.11,4.9,5.04,5.04,19392900,Wednesday,
07/07/2016,5.07,5.1,4.94,5.02,5.02,15756700,Thursday,
08/07/2016,4.84,5.15,4.82,5.1,5.1,28140700,Friday,CL
11/07/2016,5.13,5.19,5,5.01,5.01,21027900,Monday,OP
12/07/2016,5.01,5.17,5.01,5.14,5.14,20832500,Tuesday,
13/07/2016,5.14,5.19,5.04,5.09,5.09,14032500,Wednesday,
14/07/2016,5.15,5.24,5.06,5.17,5.17,20050100,Thursday,
15/07/2016,5.2,5.2,5.1,5.14,5.14,14219300,Friday,CL
18/07/2016,5.19,5.57,5.13,5.51,5.51,38619400,Monday,OP
19/07/2016,5.5,5.55,5.34,5.41,5.41,23439600,Tuesday,
20/07/2016,5.48,5.5,5.4,5.41,5.41,20102400,Wednesday,
21/07/2016,5.43,5.45,5.1,5.22,5.22,40242000,Thursday,
22/07/2016,5.73,5.97,5.45,5.84,5.84,101838300,Friday,CL
25/07/2016,5.93,6.95,5.92,6.7,6.7,118328600,Monday,OP
26/07/2016,6.76,7.16,6.71,6.98,6.98,81230600,Tuesday,
27/07/2016,6.93,6.98,6.68,6.85,6.85,38514300,Wednesday,
28/07/2016,6.79,6.98,6.74,6.82,6.82,27515600,Thursday,
29/07/2016,6.88,6.96,6.75,6.86,6.86,22580500,Friday,CL
01/08/2016,6.89,6.92,6.57,6.64,6.64,26729000,Monday,OP
